YIELD_1,YIELD_2,YIELD_3,YIELD_4
7.931758,7.4334974,10.221378,1.1850345
4.8950477,7.102706,10.190569,3.7091856
5.4516,4.275092,9.972213,2.6860862
2.4890265,6.736493,6.6883807,5.242381
4.623109,7.532454,13.594511,1.2186519
6.80275,8.349338,9.578485,5.804416
5.094266,5.1083508,8.265443,2.5424914
3.702265,8.349548,9.486393,4.859691
5.3574986,4.5357046,7.92755,3.0127318
6.061048,5.898485,9.222956,0.5055621
4.4141865,4.6425815,9.332878,2.2505553
3.92552,6.7514515,11.08136,2.7842546
5.2251873,6.698332,7.0712824,4.3245406
4.978085,7.092299,11.32831,3.6924915
8.631778,4.3201766,9.877538,3.9094498
10.1588335,9.195382,13.205675,6.6858525
4.4035172,5.938176,9.962533,1.0834364
5.627899,7.0849304,9.322182,4.6538134
4.6012015,6.0411186,11.233262,1.3673012
6.3990717,5.40634,7.0457673,4.710947
5.05227,6.9128366,9.021058,1.3066219
4.3252583,8.232474,11.759283,3.9733691
5.517633,4.926761,7.86757,2.475809
3.7785175,5.971174,6.3698993,5.690705
7.5030255,6.070262,10.280298,4.9455314
4.003638,7.5419044,7.8441796,2.4067025
6.1712546,5.1682205,6.4920506,8.456494
5.8050957,8.015132,10.542593,3.4314046
5.616886,4.8029714,8.201202,0.29683712
4.83933,7.3202634,6.9632483,2.0420475
5.133919,6.6332183,8.07648,1.7212512
4.6891904,5.7469416,9.829122,2.8371828
4.52866,5.058434,6.8629203,7.1077557
3.7584243,5.216009,4.8554697,5.092232
8.128128,9.338606,12.906583,6.5451555
5.4550486,5.9674873,9.623896,6.088794
4.069402,7.001737,7.0748086,6.2285504
5.5266237,6.338877,5.6175747,1.6332153
6.0100884,7.160883,7.839985,4.9074664
4.6127114,3.3696208,11.845143,1.0736177
7.394029,7.299907,9.420378,7.2570534
6.1153483,3.2888212,8.686531,0.0
4.9190226,4.428434,9.488559,1.622194
6.105441,8.411879,6.3403172,4.9685254
4.3548956,4.7456527,8.312524,1.3145065
5.765589,5.0554686,12.084452,0.69880664
4.8971233,7.5100675,5.1746116,3.3694608
5.1780486,4.783752,10.507619,0.0
5.6413293,7.2097197,13.205355,3.07417
3.7497609,6.3567095,5.175549,5.3584948
6.451573,5.272638,7.444232,4.419235
6.2001834,8.080838,13.978375,2.8028402
5.333281,6.069281,7.9025135,2.9875157
4.630542,4.8919773,8.657026,1.481494
8.307301,7.8077283,11.336533,4.9485006
4.574086,7.395639,8.261491,6.633428
4.902438,6.392574,9.221303,2.6873412
5.382508,7.401691,10.489509,1.5380363
6.814426,7.2718706,9.932634,6.1971254
5.0021644,8.197683,10.136761,2.6866267
3.3763375,5.2043095,6.543733,5.993329
4.186937,6.6190724,11.843142,3.16221
8.630809,7.532078,10.203467,4.0494184
4.5059304,6.337258,7.1960974,3.8987765
6.240187,5.8605194,9.672883,0.10739185
7.8231015,8.446003,13.205027,6.2770047
5.7805786,6.2372847,6.247378,1.8330873
10.102767,9.645947,14.872988,8.962243
5.9466186,5.0265026,9.607358,2.138293
5.064379,3.9387383,8.811513,2.0299342
5.4945674,6.7765317,7.4047127,2.8667898
7.879604,10.567998,12.174444,8.07003
7.1700196,5.2403193,8.752197,2.469401
4.0556,8.825861,10.95582,2.298847
4.2167315,5.3897085,11.572474,0.16865058
5.3594975,7.6025124,9.10107,8.843993
5.831966,5.916114,9.071295,5.968889
4.348223,4.2020936,9.937009,6.346804
4.1711144,4.6326895,11.853218,0.0
4.4421077,4.338798,10.574807,1.8429701
5.598084,8.356251,10.02858,4.3658156
5.902657,5.479964,10.615262,3.205163
4.135669,6.399158,7.7276816,4.2784653
5.6605754,8.466678,9.885233,3.1586595
5.8460226,5.655993,9.265611,3.228001
7.3923073,4.1015234,8.67561,2.4419603
8.781998,6.2819796,7.8361015,2.5896218
4.3171663,3.6299634,7.654056,1.9245626
4.646986,6.7265735,5.7704134,6.2215896
4.4789996,4.9220614,8.723311,1.474942
3.1990743,7.2205963,8.057705,2.9548595
4.8651533,5.156729,11.865194,6.6802087
4.920472,6.746207,8.387905,4.4853406
5.022178,7.4750276,12.28365,3.3570268
6.6819944,8.600017,9.350147,4.2575107
5.1143947,6.38446,9.719891,2.620227
5.0755634,6.8819118,12.167009,3.1671875
8.234582,6.8370953,11.332706,8.78221
4.669487,8.233683,13.236842,0.49842158
5.963729,5.1169286,9.370443,4.965254
4.446266,5.3775625,11.502388,0.12484561
6.18104,6.4242764,10.292916,1.1014569
6.198574,5.621658,10.112341,1.5623143
5.227475,5.8579917,8.365559,3.4577007
5.1812153,6.3543105,9.462205,2.3921082
3.6739955,7.1904807,4.505568,7.51229
4.6781607,6.0229855,8.899774,3.2915375
6.5014257,10.588053,12.20589,5.842709
7.199717,4.316964,8.38007,3.2452826
5.516443,6.1505375,8.048035,1.0249429
5.133612,5.5773244,8.074139,3.0726106
5.217598,5.5826397,7.0415335,8.299939
9.251694,6.170721,9.917919,1.8483887
5.6462493,5.4483376,11.801428,1.0077281
4.7962027,5.1719055,7.3394346,5.1285105
4.4738164,7.1583667,8.872542,2.0744424
4.5098257,8.963386,9.34454,2.6319766
5.1771336,4.9205832,7.775925,2.2246366
5.240648,6.2236047,9.63673,4.616302
5.096269,6.0348215,4.643416,6.007177
4.6685596,4.9122405,7.6370845,9.643597
4.805172,6.4584346,9.874852,1.234978
5.266907,8.007188,11.643085,1.9671348
4.152411,5.5119014,8.934012,5.0602055
8.037283,8.286818,6.2033997,5.3724904
7.834446,7.920756,11.350974,6.8376656
4.809773,5.1125326,8.282878,2.7646394
5.700961,5.091867,9.844747,0.66126025
6.8312464,9.509715,10.041088,3.6363113
5.460686,5.691626,6.1665387,2.2834768
5.17456,6.8905144,8.894343,3.0625865
4.8243213,7.077504,9.290969,2.5902705
5.738616,4.932364,11.445042,0.0
7.5134134,8.136267,10.944742,4.5340047
7.9011073,5.964084,10.6081505,1.6808978
9.503288,4.8868284,7.3714027,3.6573796
5.027089,6.43123,9.773729,2.6348214
5.0223126,6.4201202,9.828253,2.931151
5.470275,7.0466022,7.4905543,2.5949543
5.0731378,5.8634963,8.671665,2.7527144
4.480586,5.3321104,9.027723,1.2954721
4.301459,5.4865065,4.5494347,3.2503264
9.871797,8.453114,13.064127,3.1449454
7.296956,9.185199,15.105335,3.4853294
6.189613,6.4146376,7.7380223,1.3278958
4.5607805,4.2992105,9.340387,1.2923865
5.398817,5.3626685,10.1145,7.2388186
8.795055,6.6734405,12.070699,0.4903992
5.7865267,7.674346,7.8525987,2.4099896
4.6835814,5.76454,9.011087,2.2292767
5.1155863,4.5139604,10.605335,0.34635937
4.789779,6.359777,6.3994503,4.8699183
4.3270984,8.425306,6.705709,8.268745
5.1007543,3.8383207,8.463084,1.077823
3.2536867,5.9781504,8.300897,3.736144
5.528794,5.6674676,9.901223,1.2252243
4.683107,7.445725,10.861876,2.0252476
5.105866,7.914352,9.396021,2.0394351
5.358402,7.564623,8.582774,1.8780887
4.2945137,5.7680516,9.881496,5.158789
2.1744945,6.681439,8.384446,4.7774534
5.106733,4.8615274,8.2553835,2.2662735
3.8837693,8.232062,9.807619,6.0821404
7.8718905,3.4871612,7.7791533,6.396313
4.8232493,5.307152,11.104348,5.04044
5.703616,8.092674,4.404843,5.324209
4.3953433,6.3790483,7.6928396,3.1235535
4.961878,5.862469,12.370249,5.350509
5.0536013,4.652106,11.464228,0.6390846
5.3457713,7.858781,6.3679147,5.0905113
4.4726033,5.5505347,7.53428,0.54702115
5.751167,4.370135,10.336807,0.0
3.5153294,7.421502,9.175848,4.652275
4.9790516,7.4537263,6.044545,6.0797586
5.9337044,7.313433,11.2451725,2.1055915
3.9305644,5.5715785,10.498264,3.594316
7.161317,3.6936946,8.901876,4.051131
3.5657175,6.773782,10.00623,2.7793074
5.6088305,4.624412,8.181667,3.2725642
9.038402,7.6149774,12.401261,7.663359
7.2778015,5.576398,10.014053,5.8456626
5.296772,5.4206967,9.355232,3.763903
4.475887,6.1858897,10.730531,1.6832732
5.5280085,8.150964,9.693978,1.9937581
5.187478,7.8364377,10.993524,2.0074854
4.562694,4.4356227,10.109962,2.2380476
5.0078907,5.149377,11.171203,2.6184273
5.2653685,5.750535,11.191531,0.9121376
3.9159985,6.9907537,11.236693,5.1260624
5.073405,5.099053,8.882126,1.8181479
6.582973,6.275353,10.983921,8.7453375
4.9916587,9.022725,8.992283,6.2968082
11.582167,9.039251,13.851071,10.84626
9.430384,7.366949,12.674352,3.1574273
10.045798,10.635786,14.981732,7.9698496
11.17594,7.191997,10.255081,4.0899625
4.946215,6.791885,9.7064905,2.8979492
5.8484893,5.623492,11.733676,0.66386557
7.8841805,6.0440993,11.333734,5.1028986
4.116789,4.4574347,9.220988,3.7559807
4.65022,5.8962812,8.526123,1.4196938
5.449798,8.122879,7.7937465,2.2660778
4.3261547,4.9471893,9.781296,1.3785766
4.67856,6.154306,10.821701,1.8136986
5.001159,6.143277,6.8527613,4.9049096
6.6973095,6.738127,10.660066,2.3496323
6.1694427,4.696185,7.5912714,2.4494755
4.3089585,6.6324863,6.783789,6.695038
8.389148,4.946658,8.680773,1.1614223
7.189879,5.1677604,9.541874,0.9643812
7.8460793,7.763618,13.250625,6.456621
4.426452,5.986113,7.9313703,3.803764
4.8478312,5.052234,9.881172,4.177437
5.144153,4.6469893,10.087867,1.1891613
5.486262,8.210754,9.901601,1.995296
5.8882217,5.1489854,8.663511,2.128419
3.9297512,6.4629993,6.7874618,4.5248485
4.7625456,7.3290133,6.403788,9.109308
3.3763392,6.850817,11.263914,5.4243946
8.190741,6.755987,9.968416,2.3289008
4.099401,7.8249745,11.293712,2.9508493
4.581904,7.1203256,10.069689,9.351292
4.8769035,6.339608,9.096895,3.2812755
5.459596,10.036701,10.600871,7.3259554
4.7716146,6.8918605,7.900456,2.1349976
5.3386045,8.035446,9.530934,2.4847407
5.0957775,5.5026045,8.912387,0.23183629
3.8863387,4.336267,6.947693,4.5336876
7.081303,7.5232873,12.817314,5.7332983
4.227664,4.8125105,11.679437,3.7454844
5.138189,7.442135,8.534022,0.9286635
5.558891,7.028555,8.022195,2.2077117
6.6262627,9.681666,8.71196,4.226367
7.17464,5.525242,9.018733,2.0334744
3.2639453,5.037884,6.8677883,7.3690553
5.226985,8.158569,5.907067,2.022211
7.0073013,6.153006,6.0891566,3.886556
8.004575,8.236662,11.746976,3.8920958
6.092947,5.416669,7.995422,5.220494
4.6852026,4.312022,6.616717,2.048782
5.069421,9.593864,10.219976,2.9217978
6.298478,7.1982274,10.912127,3.4486816
3.388684,4.967396,6.4376736,3.089212
4.345841,8.410374,11.104529,2.8975568
5.14787,7.1750636,11.14229,1.9222785
4.515287,6.920185,8.649353,3.8026364
9.258892,5.4465766,8.952077,3.6790106
4.3094897,8.018419,10.192964,2.132137
5.2238874,5.8537803,7.9788923,2.9966025
2.6959004,4.2550807,6.862405,4.5711303
3.8595045,4.7935247,8.273422,8.157038
4.385224,6.935086,7.3929763,3.0399091
7.450168,4.6424274,9.703397,1.4977177
5.497559,8.679585,8.502974,1.7395132
5.2771883,7.4626293,9.623126,2.0624876
6.2322664,6.769002,12.717445,3.2446134
5.171849,7.1574297,8.57778,4.6438904
6.579462,8.226541,10.14355,4.360274
5.93636,5.561818,7.1427956,3.391467
4.4819293,4.586836,9.251028,1.7268752
7.7068887,5.1297836,11.14817,0.0
5.682171,4.562597,11.042984,0.71913594
6.7734027,5.0894904,10.875382,1.7148523
4.2194686,5.1271095,10.364068,0.0
8.880676,9.058339,12.87755,2.5026364
4.6179543,7.2956333,11.333717,2.1895504
5.2040167,6.5495887,10.664912,2.8575697
6.4919367,6.1315627,12.235053,1.3839893
4.1227694,7.2867646,8.6867285,3.432308
8.620344,10.409104,15.046118,7.3348823
6.042933,2.2924976,7.1686616,1.7189189
4.140136,5.4280043,10.949939,5.3985367
2.9311793,5.710285,7.1523995,4.217162
4.877236,5.689048,10.237697,3.2891114
5.671878,5.324307,10.636504,0.48402882
4.6022696,5.474469,8.423501,5.56859
4.4858236,5.071845,9.720998,1.2282871
4.960416,5.259864,11.328762,1.1820192
8.311563,5.608826,10.898873,0.089183316
3.323203,6.574869,8.70777,3.474177
7.1664376,5.746678,10.100148,0.6911716
6.193967,10.650795,15.058637,3.0305905
4.796828,5.2839675,13.374023,4.1829767
4.7694216,7.4276857,5.4540424,3.6577666
4.8019104,6.8749228,11.066714,1.7082208
4.23739,5.603479,9.995613,4.5916295
5.97201,5.504611,11.770823,1.4132218
4.4597707,8.064383,12.084738,2.5846136
4.534562,6.0736523,11.151515,0.17138003
6.0864024,7.7376285,8.203276,2.0189888
7.058092,11.32045,12.102587,7.296424
5.1902947,6.0633893,8.633452,2.8517895
4.989587,5.4445524,10.344228,1.4643965
4.0598946,5.660522,8.273286,5.809756
4.0971026,6.273312,5.5358825,4.018597
7.389223,5.0476823,8.111019,4.8097386
4.769331,6.6360607,10.432815,4.0302114
9.108211,10.368374,14.667832,6.358873
4.7913933,8.038317,11.543166,6.5069194
4.5385265,4.392481,10.536939,0.0
8.7470455,6.3656697,11.409826,3.2090874
2.2206779,3.971075,6.161437,6.0759077
6.154679,5.875971,8.711796,5.7627206
4.9850726,5.468374,9.068561,2.4204738
6.203783,5.9845753,8.300326,5.1476173
3.8426151,6.904983,5.719542,9.316846
4.683177,5.6610107,9.032855,0.2905011
3.5797765,5.720625,8.042862,5.735924
5.558811,7.2484856,4.815322,3.91539
7.3573256,7.5136056,12.727967,3.0126023
5.6574836,4.644107,11.114816,5.861351
6.17021,5.9768667,8.807768,1.5353402
4.941527,6.9496098,12.050803,3.0845041
5.68372,7.4762745,9.027557,2.155269
4.303571,6.151998,12.362815,1.4484378
6.260519,5.0433617,10.254376,4.732213
4.519375,6.204198,10.614615,1.9296399
6.1873384,7.343629,9.734233,4.23935
4.5494933,4.152993,9.63703,1.18787
5.2616253,7.803172,6.72319,1.9531678
4.8403206,5.5643864,10.130067,2.692242
4.1009994,5.435663,9.712326,0.71222377
5.47652,4.721877,7.8630233,1.7231306
3.8981023,5.99001,8.332117,2.4925404
7.073546,6.7818246,11.402672,1.0912994
5.390135,8.857694,9.434855,6.0679135
5.5317025,5.101587,9.481169,1.4909451
4.576832,5.835723,8.782782,2.0599384
4.7079306,4.6991663,8.5357485,1.5784465
5.1354833,4.822105,13.169874,1.6478286
6.4880214,9.249887,11.817636,2.1581426
5.945952,5.129629,6.913967,3.3204257
5.185623,8.978682,14.2337885,3.551291
4.7006893,6.8226843,9.980015,5.037072
5.946462,7.538902,5.7606797,3.8516953
5.408894,6.661386,9.999748,2.639366
5.9816527,6.9705734,13.189629,1.3714849
5.165365,5.231362,7.514538,3.5273666
10.115463,9.9785595,14.423139,6.979601
4.6904583,6.3602505,7.7171483,3.4631183
5.600801,5.716115,6.973407,2.1155453
5.7699914,7.0604033,7.696953,2.9072413
5.666694,5.154558,10.752317,0.8605876
5.651215,5.3637037,10.939662,0.0164648
4.496195,6.5355144,9.933915,3.183251
4.6639934,4.6027913,9.684629,1.1637133
5.2954645,4.666182,10.92355,0.0
6.071843,4.3533406,10.981644,0.20917507
4.122598,5.5513616,8.689588,3.4269457
4.8636527,6.161318,8.478225,2.0407002
5.601252,6.0123377,9.288915,5.141093
4.092276,4.876356,10.710144,1.1223559
3.986883,5.9634156,10.392573,0.1967676
4.932303,4.3958697,7.9561853,2.4585211
6.732105,4.6741405,9.276812,1.9167557
4.9108586,7.2733307,11.524164,2.7334104
7.123109,5.3859034,11.007199,2.364493
5.4213843,6.769225,7.3763494,1.6328036
5.8332167,7.1227427,6.3884873,1.8319889
4.131542,7.807695,3.0529144,5.7911754
4.302204,5.7595496,9.164136,1.4897989
5.4823627,6.0935006,6.9592233,2.5466979
6.755923,4.1630917,7.971693,2.416973
5.244288,8.711065,10.694984,1.7773883
8.922789,7.5973597,12.561465,3.814969
5.558157,5.8396897,9.531661,6.653237
4.855108,6.5858893,9.558397,2.6937532
5.4230437,6.1176844,11.695739,0.8579966
4.50613,6.469695,11.356594,2.0820222
5.841126,5.14602,7.369908,2.6505914
4.964212,7.7030563,12.917035,4.1129527
8.938232,6.678294,10.91012,2.8663068
5.3573995,5.9901257,7.9981065,3.0213687
8.516657,7.8336797,10.179686,1.220966
3.4820402,6.8139343,10.273754,5.431462
4.785235,6.466429,8.279019,1.2434795
3.9331915,6.6523123,7.2876987,5.575952
6.6244683,6.400415,7.09567,2.863881
4.8383365,5.9715915,7.505259,5.4230123
7.446726,8.478268,13.672356,5.606645
6.957704,3.4164443,7.974264,1.9523499
3.5070815,7.3730497,8.709607,5.116068
5.3598447,4.8226027,6.8395844,2.5075479
5.985158,5.14783,6.850157,1.6747829
4.3921432,6.3764615,10.929656,1.828267
5.456932,5.886531,9.492316,0.84644294
6.133215,8.182317,7.4868107,10.1957855
4.534908,5.3597393,7.824915,4.112397
5.8286295,7.821689,10.014864,1.8738142
4.6877303,5.352773,8.990718,2.9727194
4.7854633,8.819884,10.031023,3.5384114
4.105201,8.4619055,8.771875,3.1901855
7.4851227,7.455509,10.3050995,4.869642
4.8421636,6.096942,10.980668,3.2295713
5.2176485,6.156039,10.274579,1.2837195
5.361229,4.735759,9.3029375,2.769062
5.008244,7.984032,12.389938,4.656938
6.036159,8.363211,9.853828,4.690089
7.0695696,5.595103,11.420616,7.6153283
4.4400053,6.330271,10.7426815,1.8719105
5.2122498,4.9187856,10.039504,1.7684515
3.4208722,6.4161277,6.1277843,8.912005
3.7949836,6.115296,10.938054,2.2898424
5.390804,6.755247,8.705418,3.2500744
4.47271,6.6845613,9.373453,8.952206
4.400233,4.3612585,11.934524,0.0
7.305864,5.824271,11.202627,1.4027911
4.1644354,4.8572645,7.5073047,1.30932
6.260206,5.257056,9.765869,1.515562
5.4793844,7.92904,11.629396,2.1372466
2.5203202,4.9580927,6.4699473,5.32362
4.703482,7.2517376,10.63789,0.7240497
5.012802,7.3148847,10.1837845,1.9991049
8.930126,9.822426,14.9174,6.641661
4.0047216,7.558433,5.692141,8.03261
12.484912,6.39379,9.731692,8.551392
5.032272,8.155268,13.259107,3.640684
5.015768,5.9357624,10.579885,1.6764106
5.4539003,8.433617,11.547885,4.4908977
4.4036317,5.7334223,7.0717645,3.0700147
5.2671866,5.1248746,8.490685,2.360893
3.8324294,5.832437,10.9925375,3.8440285
4.3751884,6.2621465,9.108981,0.8582318
6.05664,6.008691,8.391175,2.4629047
4.3388133,8.016391,7.5750866,7.777399
4.618525,5.424209,6.7068367,4.5389605
4.082988,5.9621964,10.616372,0.4618128
3.64482,6.06925,8.311133,5.192362
5.5614696,6.803036,8.281225,0.9598192
3.835095,4.499663,4.7473016,5.507748
5.149803,4.8567934,10.2874155,4.3991075
5.722102,6.9582367,7.175778,2.2024095
4.361956,4.957451,6.284622,6.098423
5.312459,8.170107,10.19518,2.2073753
4.2353377,5.3667784,9.312625,1.7317501
4.983184,7.1829395,11.281708,1.7372124
6.045915,6.7630577,8.676832,4.323935
9.56743,7.8454423,11.215849,2.7163677
7.942618,7.1849046,11.317149,3.0681195
4.771869,5.6006827,8.537281,2.9735155
5.7901373,5.7059345,9.17523,1.7169547
5.1115456,4.3641577,8.333545,3.5567827
4.2834263,6.0128136,9.93807,4.5973144
6.042082,6.6267223,7.7967234,3.7351959
7.6848536,5.5626855,8.861362,3.4974935
4.515604,5.30936,9.740977,2.0134454
4.333407,4.9550166,10.255727,1.6069403
4.9945703,5.399721,6.107298,2.3854554
5.3328185,6.500628,6.768639,5.0747538
5.5369945,7.404153,9.443002,2.5082004
6.047589,4.9894834,10.644207,1.2334815
6.0278106,8.431736,9.323665,2.5103803
